a,a**2,b,b**2,yShift,a,a**2,b,b**2,yShift,vectorDirection,graphPixelCount,medianDistance,rating
-0.691,1.093,0,0.426,0.986,0,0,-0.831,0,-2.32,0.42216744,0.25687904,0.25359575,0.5
-0.878,0,-0.338,0,-0.43,-0.383,0,0,0,-1.507,0.21796421,0.29894983,0.30477742,0.4
1.503,0,0,0,0.533,0,0,0,-0.487,0.876,0.31806383,0.32096288,0.25807868,0.4
0,0,0.813,0,-0.092,0.871,0,2.097,0,-0.157,0.23798413,0.29191701,0.30432097,0.4
2.091,0.331,0.73,0,-0.344,0,1.158,0,0,1.955,0.23398015,0.25470296,0.29589331,0.1
-0.457,-0.24,0,0.062,-1.677,2.253,0,1.452,-0.3,-2.243,0.24999609,0.25514448,0.25360031,0.1
0.503,0,0,-0.375,-1.528,-0.067,0,0.101,-0.369,0.497,0.45419932,0.27196965,0.25387086,0.4
-0.915,0.545,1.883,0,-1.375,1.533,0,0,-0.659,-0.613,0.22997616,0.24910509,0.25355324,0.5
-0.931,0,0,-0.004,-2.938,0,0,0.662,0,0.394,0.23398015,0.25470296,0.29589331,0.6
0,0,0,1.141,-3.031,0,0,0,0,-0.46,0.23798413,0.25457681,0.28385959,0.1
0,0,0,0,0.509,0.329,0,0,0,1.608,0.19394029,0.24994083,0.25337277,0.1
-1.602,0,0,0,0.424,0,0,0.243,0,-0.246,0.20194827,0.25460835,0.28769615,0.4
0.915,1.291,0.725,-1.021,-0.082,0,0,-1.458,-1.987,-0.724,0.30605188,0.24755976,0.25346114,0.5
1.418,-1.707,0.004,0.422,0.809,0,-0.265,0,0,-2.216,0.23798413,0.33124405,0.2563466,0.1
0.844,0,0,0,2.21,0.588,1.894,0,0,1.068,0.4061515,0.24872664,0.25343303,0.4
0.758,-0.642,0,0,-1.461,0,1.243,0,0,0.144,0.19394029,0.23417216,0.253292,0.1
0.563,0,0,0,0.185,-1.318,0.537,0,0,1.096,0.20194827,0.25470296,0.28769615,0.4
