a,a**2,b,b**2,yShift,a,a**2,b,b**2,yShift,rating
0,0,0,0,-1.286,0.617,0,1.991,-1.161,-0.397,0.1
0,0,-1.235,0,-2.428,2.897,-0.166,0,0.324,-1.863,0.2
0,-0.588,-0.283,-1.164,-1.461,0.166,0,-0.035,1.094,-0.859,0.2
0,0,0,0,-0.473,-0.332,0,0,0.48,1.051,0.1
0,0,-0.616,-0.994,1.785,0.225,0,0,0,0.109,0.5
1.184,-0.549,2.472,-1.064,-0.722,0,0.027,0,-0.145,0.709,0.7
-1.139,0.631,0,0,0.552,-0.536,-1.123,0,1.566,-1.749,0.5
0,0,0,0,1.641,0,0,0.412,0,0.631,0.3
0.28,-0.478,0,0,-2.741,0,-1.416,0,-0.775,1.556,0.2
1.697,1.239,-0.389,0,-1.616,0,0,-2.441,0.538,-0.472,0.2
0,0,0,-0.333,2.609,-0.018,0.479,0,0,-0.592,0.5
-0.324,0,0.133,0,0.461,0,0,0,0.167,0.145,0.4
0.077,0,-0.523,0,-1.927,0.872,-0.642,0,-1.365,0.324,0.3
0.946,0.439,-0.216,0,-1.769,0,0,-0.479,0,-1.375,0.5
0,0,1.256,0,-0.245,0,0,0,-0.523,0.157,0.4
1.481,-0.287,0,-0.479,-1.475,-1.663,0.16,0,-0.333,1.205,0.1
-0.68,0.872,0.185,0.299,1.334,1.303,-0.664,0.961,0.291,2.032,0.1
0,0.268,1.151,-0.164,-2.274,-0.267,0,0,0,0.298,0.5
0.18,0,-0.328,0,1.57,0.626,0,-0.29,0,0.152,0.5
0,0,0,0,-0.912,-0.968,-2.265,-0.149,0.136,0.882,0.3
0,-0.176,0,-1.113,-1.099,0,0.4,0.906,0,-2.576,0.1
0.637,0,-0.572,0.33,-0.593,-2.323,0.786,-1.258,0,0.816,0.1
-1.798,-0.435,0,0,-1.211,1.325,-0.414,1.289,0,-1.418,0.6
0,1.134,-0.395,0.434,-0.12,0,0.754,1.28,0,-0.184,0.1
0,0,0,-1.656,-0.194,-0.943,1.111,0,1.367,-0.28,0.5
0.11,0,2.253,0,-0.188,-0.328,-0.679,0,2.013,-3.216,0.2
-0.397,-1.144,-1.588,-0.039,0.136,0.999,-1.489,0,0,3.52,0.1
-0.258,-0.001,0,0.05,-0.17,-0.615,0.782,0.629,0.556,3.555,0.1
-0.658,0.457,0,1.2,1.47,0,-1.429,0,-0.682,0.279,0.1
0.367,-0.355,0,0,-1.19,-0.36,0,0,-0.487,0.764,0.2
0,-0.425,0,1.17,-2.091,0,0.135,0,0.715,0.972,0.1
-0.254,0.506,-0.045,0,2.437,-2.453,-0.38,-0.801,-0.58,1.909,0.2
-0.663,1.68,-0.439,-0.577,-0.561,-0.039,0.036,0,0,-0.903,0.9
0.837,-0.694,-1.546,-0.172,-1.526,2.204,0,0,0,-0.318,0.2
-0.648,-2.588,0.075,-1.151,2.483,-0.361,-0.543,0,-1.043,1.711,0.2
-0.195,-0.259,0,0,-1.313,0,0.723,1.728,1.644,3.376,0.4
-0.865,1.287,0,0,0.09,0.747,0,0,0,-1.87,0.5
-0.338,-0.625,0,-0.198,-2.174,0,0,-1.859,0.711,-1.881,0.2
0,0,0,0,-1.689,-0.223,-0.39,0.437,0,0.694,0.4
0,1.227,0,0,-0.995,0.03,0,-0.296,1.282,1.854,0.6
0,-1.16,-0.432,0,1.626,0,0.515,0.902,0,0.68,0.1
0,-0.212,0,-0.529,2.063,0,0,0,0.842,4.755,0.1
0,0,0,1.684,0.79,0.526,1.199,-0.156,0,0.819,0.1
0.951,0.028,0,0,1.423,-1.293,0,-0.369,-0.294,0.177,0.2
-1.709,0,-0.012,0.8,-0.749,-0.829,-0.589,0,-0.912,0.471,0.1
0,0,-0.437,0,-2.53,0,0.4,0,0,0.147,0.2
0,0,-0.926,-0.719,1.201,0.05,0,-0.782,-0.686,-0.049,0.4
0,1.646,0.378,-0.172,1.56,-0.688,0.119,0,0.849,-0.525,0.1
-0.646,0,1.916,-1.176,-0.472,0,-1.493,0,-0.983,3.2,0.1
0.865,0,0,0,3.149,0,0.123,0.482,1.145,0.151,0.3
0,0,0,0,-1.286,0.617,0,1.991,-1.161,-0.397,0.1
0,0,-1.235,0,-2.428,2.897,-0.166,0,0.324,-1.863,0.2
0,-0.588,-0.283,-1.164,-1.461,0.166,0,-0.035,1.094,-0.859,0.2
0,0,0,0,-0.473,-0.332,0,0,0.48,1.051,0.1
0,0,-0.616,-0.994,1.785,0.225,0,0,0,0.109,0.5
1.184,-0.549,2.472,-1.064,-0.722,0,0.027,0,-0.145,0.709,0.7
-1.139,0.631,0,0,0.552,-0.536,-1.123,0,1.566,-1.749,0.5
0,0,0,0,1.641,0,0,0.412,0,0.631,0.3
0.28,-0.478,0,0,-2.741,0,-1.416,0,-0.775,1.556,0.2
1.697,1.239,-0.389,0,-1.616,0,0,-2.441,0.538,-0.472,0.2
0,0,0,-0.333,2.609,-0.018,0.479,0,0,-0.592,0.5
-0.324,0,0.133,0,0.461,0,0,0,0.167,0.145,0.4
0.077,0,-0.523,0,-1.927,0.872,-0.642,0,-1.365,0.324,0.3
0.946,0.439,-0.216,0,-1.769,0,0,-0.479,0,-1.375,0.5
0,0,1.256,0,-0.245,0,0,0,-0.523,0.157,0.4
1.481,-0.287,0,-0.479,-1.475,-1.663,0.16,0,-0.333,1.205,0.1
-0.68,0.872,0.185,0.299,1.334,1.303,-0.664,0.961,0.291,2.032,0.1
0,0.268,1.151,-0.164,-2.274,-0.267,0,0,0,0.298,0.5
0.18,0,-0.328,0,1.57,0.626,0,-0.29,0,0.152,0.5
0,0,0,0,-0.912,-0.968,-2.265,-0.149,0.136,0.882,0.3
0,-0.176,0,-1.113,-1.099,0,0.4,0.906,0,-2.576,0.1
0.637,0,-0.572,0.33,-0.593,-2.323,0.786,-1.258,0,0.816,0.1
-1.798,-0.435,0,0,-1.211,1.325,-0.414,1.289,0,-1.418,0.6
0,1.134,-0.395,0.434,-0.12,0,0.754,1.28,0,-0.184,0.1
0,0,0,-1.656,-0.194,-0.943,1.111,0,1.367,-0.28,0.5
0.11,0,2.253,0,-0.188,-0.328,-0.679,0,2.013,-3.216,0.2
-0.397,-1.144,-1.588,-0.039,0.136,0.999,-1.489,0,0,3.52,0.1
-0.258,-0.001,0,0.05,-0.17,-0.615,0.782,0.629,0.556,3.555,0.1
-0.658,0.457,0,1.2,1.47,0,-1.429,0,-0.682,0.279,0.1
0.367,-0.355,0,0,-1.19,-0.36,0,0,-0.487,0.764,0.2
0,-0.425,0,1.17,-2.091,0,0.135,0,0.715,0.972,0.1
-0.254,0.506,-0.045,0,2.437,-2.453,-0.38,-0.801,-0.58,1.909,0.2
-0.663,1.68,-0.439,-0.577,-0.561,-0.039,0.036,0,0,-0.903,0.9
0.837,-0.694,-1.546,-0.172,-1.526,2.204,0,0,0,-0.318,0.2
-0.648,-2.588,0.075,-1.151,2.483,-0.361,-0.543,0,-1.043,1.711,0.2
-0.195,-0.259,0,0,-1.313,0,0.723,1.728,1.644,3.376,0.4
-0.865,1.287,0,0,0.09,0.747,0,0,0,-1.87,0.5
-0.338,-0.625,0,-0.198,-2.174,0,0,-1.859,0.711,-1.881,0.2
0,0,0,0,-1.689,-0.223,-0.39,0.437,0,0.694,0.4
0,1.227,0,0,-0.995,0.03,0,-0.296,1.282,1.854,0.6
0,-1.16,-0.432,0,1.626,0,0.515,0.902,0,0.68,0.1
0,-0.212,0,-0.529,2.063,0,0,0,0.842,4.755,0.1
0,0,0,1.684,0.79,0.526,1.199,-0.156,0,0.819,0.1
0.951,0.028,0,0,1.423,-1.293,0,-0.369,-0.294,0.177,0.2
-1.709,0,-0.012,0.8,-0.749,-0.829,-0.589,0,-0.912,0.471,0.1
0,0,-0.437,0,-2.53,0,0.4,0,0,0.147,0.2
0,0,-0.926,-0.719,1.201,0.05,0,-0.782,-0.686,-0.049,0.4
0,1.646,0.378,-0.172,1.56,-0.688,0.119,0,0.849,-0.525,0.1
-0.646,0,1.916,-1.176,-0.472,0,-1.493,0,-0.983,3.2,0.1
0.865,0,0,0,3.149,0,0.123,0.482,1.145,0.151,0.3
0,0,0,0,-1.286,0.617,0,1.991,-1.161,-0.397,0.1
0,0,-1.235,0,-2.428,2.897,-0.166,0,0.324,-1.863,0.2
0,-0.588,-0.283,-1.164,-1.461,0.166,0,-0.035,1.094,-0.859,0.2
0,0,0,0,-0.473,-0.332,0,0,0.48,1.051,0.1
0,0,-0.616,-0.994,1.785,0.225,0,0,0,0.109,0.5
1.184,-0.549,2.472,-1.064,-0.722,0,0.027,0,-0.145,0.709,0.7
